"municipio","low_cost","max(precio_gasoleo_a)","min(precio_gasoleo_a)","mean(precio_gasoleo_a)","max(precio_gasolina_95_e5_premium)","min(precio_gasolina_95_e5_premium)","mean(precio_gasolina_95_e5_premium)"
"Rincón de la Victoria","No_Lowcost",1.399,1.399,1.399,1.639,1.639,1.639
"Riópar","No_Lowcost",1.419,1.419,1.419,1.569,1.569,1.569
"Ripollet","No_Lowcost",1.439,1.439,1.439,1.619,1.619,1.619
"Roda de Barà","Lowcost",1.409,1.409,1.409,1.599,1.599,1.599
"Ronda","No_Lowcost",1.409,1.399,1.404,1.644,1.594,1.619
"Roperuelos del Páramo","No_Lowcost",1.399,1.399,1.399,1.584,1.584,1.584
"Roquetas de Mar","No_Lowcost",1.389,1.389,1.389,1.609,1.609,1.609
"Rota","No_Lowcost",1.359,1.359,1.359,1.569,1.569,1.569
"Sabadell","No_Lowcost",1.429,1.429,1.429,1.629,1.629,1.629
"Sagunto/Sagunt","No_Lowcost",1.375,1.375,1.375,1.574,1.574,1.574
"Sahagún","No_Lowcost",1.415,1.415,1.415,1.604,1.604,1.604
"Salceda de Caselas","Lowcost",1.399,1.399,1.399,1.549,1.549,1.549
"Salines (Ses)","No_Lowcost",1.489,1.489,1.489,1.659,1.659,1.659
"Sallent","Lowcost",1.219,1.219,1.219,1.369,1.369,1.369
"San Cibrao das Viñas","No_Lowcost",1.399,1.399,1.399,1.549,1.549,1.549
